Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
G,"0.8769 (#24 OG), #435 OVR",-,Transfer: Coach,2008 (Rodriguez),2008-'10 (Rodriguez),"78 (#20 OG), #NR MW",6'3/278,2008,Kurt Wermers,Not Drafted,Not Drafted,"4* (#11 OG), #287 OVR",Former players,Former players,Offense,"5.6 (#37 OG), #4 IN",True,OG,54,3.83
G,-,-,Degree and a Handshake,1991 (Moeller),1990-'94 (Moeller),Lemming: #21 OG,6'3/300,1994,Ante Skorput,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OG,55,3.82
G,-,-,Degree and a Handshake,1993 (Moeller),1990-'94 (Moeller),"Lemming: # , #13 Canada",6'4/275,1996,John Partchenko,Not Drafted,Not Drafted,Superprep: #1 Canada,Former players,Former players,Offense,-,True,OG,56,3.81
G,"0.8803 (#47 OT), #427 OVR","89 (#40 OT), not ranked",Played out eligibility,2012 (Hoke),2011-'14 (Hoke),"79 (#50 OT), #46 MW",6'6/295,2016,Ben Braden,UDFA but NFL player,UDFA+,3* (#40 OT),Former players,Former players,Offense,"5.7 (#38 OT), #8 MI",True,OG,57,3.8
C,"0.8795 (#20 OG), #422 OVR",-,Degree/Medical,2010 (Rodriguez),2008-'10 (Rodriguez),"79 (#13 OG), #NR MW",6'2/262,2010,Christian Pace,Not Drafted,Not Drafted,3* (#11 OC),Former players,Former players,Offense,"5.7 (#7 OC), #25 OH",True,C,58,3.79
C,"0.8776 (#33 OG), #554 OVR","88 (#37 OG), #597 OVR",Transfer: Personal,2019 (Harbaugh),2015-> (Harbaugh),"78 (#34 OG), #60 MW",6'5/310,2020,Zach Carpenter,Still in College,2025,-,Former players,Former players,Offense,"5.7 (#15 OG), #16 OH",True,C,59,3.78
G,"0.883 (#8 OC), #434 OVR","89 (#10 OC), #393 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"79 (#51 OT), #90 Midlands",6'5/290,On Team,Reece Atteberry,Still in College,2025,-,Current players,Current players,Offense,"5.7 (#55 OT), #5 CO",True,OG,60,3.77
G,"0.8755 (#15 OG), #414 OVR","89 (#17 OG), not ranked",Transfer: playing time,2013 (Hoke),2011-'14 (Hoke),"75 (#87 OT), #125 MW",6'5/290,2014,Dan Samuelson,Not Drafted,Not Drafted,4* (#25 OT),Former players,Former players,Offense,"5.6 (#33 OG), #11 IN",True,OG,61,3.73
G,"0.8646 (#62 OT), #643 OVR","85 (#66 OT), not ranked",Degree and a Handshake,2012 (Hoke),2011-'14 (Hoke),"79 (#54 OT), #190 SE",6'5/265,2015,Blake Bars,Not Drafted,Not Drafted,3* (#58 OT),Former players,Former players,Offense,"5.8 (#32 OT), #9 TN",True,OG,62,3.71
G,"0.86 (#30 OG), #566 OVR","86 (#14 OG), not ranked",Gave up football,2011 (Hoke),2011-'14 (Hoke),"78 (#34 OT), #215 SE",6'4/310,2011,Tony Posada,Not Drafted,Not Drafted,3* (#45 OT),Former players,Former players,Offense,5.5 (#NR OG),True,OG,63,3.64
G,"0.8333 (#46 OG), #603 OVR",-,Degree/Medical,2003 (Carr),1995-'07 (Carr),-,6'4/275,2005,Pat Sharrow,Not Drafted,Not Drafted,3* (#97 OL),Former players,Former players,Offense,"5.6 (#21 OG), #8 MI",True,OG,64,3.62
C,"0.8333 (#44 OG), #582 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),-,6'5/260,2006,Mark Bihl,Not Drafted,Not Drafted,3* (#66 OL),Former players,Former players,Offense,5.6 (#42 OG),True,C,65,3.57
G,"0.8543 (#34 OT), #742 OVR","85 (#50 OT), #994 OVR",Degree and a Transfer,2016 (Harbaugh),2015-> (Harbaugh),"75 (#60 OG), #119 East",6'5/330,2019,Stephen Spanellis,Not Drafted,Not Drafted,3* (#54 OT),Former players,Former players,Offense,"5.7 (#36 OT), #16 MD",True,OG,66,3.56
G,"0.8333 (#51 OG), #653 OVR",-,Degree/Medical,2002 (Carr),1995-'07 (Carr),-,6'4/299,2003,Tom Berishaj,Not Drafted,Not Drafted,3* (#79 OL),Former players,Former players,Offense,"5.6 (#44 OG), #20 MI",True,OG,67,3.52
C,"0.85 (#42 OC), #744 OVR",-,Degree/Gave up football,2011 (Hoke),2011-'14 (Hoke),"78 (#53 DT), #71 MW",6'4/270,2014,Jack Miller,Not Drafted,Not Drafted,3* (#16 OC),Former players,Former players,Offense,"5.5 (#NR WDE), #53 OH",True,C,68,3.51
C,"0.8514 (#62 OT), #732 OVR",-,Degree/Gave up football,2008 (Rodriguez),2008-'10 (Rodriguez),"66 (#99 OG), #NR MW",6'4/280,2011,Rocko Khoury,Not Drafted,Not Drafted,3* (#65 OT),Former players,Former players,Offense,"5.7 (#41 OT), #11 MI",True,C,69,3.43
G,-,-,Played out eligibility,2006 (Carr),1995-'07 (Carr),"70 (#111 DE), #NR East",6'4/268,2010,John Ferrara,Not Drafted,Not Drafted,3* (#58 DE),Former players,Former players,Offense,"5.6 (#46 SDE), #7 NY",True,OG,70,3.43
G,"0.7816 (#121 OG), not ranked",-,Played out eligibility,2008 (Rodriguez),2008-'10 (Rodriguez),"64 (#113 OT), #NR MW",6'4/236,2012,Patrick Omameh,UDFA but NFL player,UDFA+,3* (#87 OT),Former players,Former players,Offense,5.1 (#NR SDE),True,OG,71,2.89
C,-,walk-on,Played out eligibility,2016 (Harbaugh),2015-> (Harbaugh),walk-on,6'3/310,2021,Andrew Vastardis,Still in College,2022,walk-on,Former players,Former players,Offense,walk-on,True,C,72,2.7
C,"0.7667 (#16 OG), #3300 OVR",not ranked,On Team,2022 (Harbaugh),2015-> (Harbaugh),no rating,6'3/275,0,Victor Oluwatimi,Still in College,2023,no ratings,Class of 2022,Commits,Offense,not ranked,True,C,73,2.67
T,-,"Parade AA
 All-USA 1st tm",Played out eligibility,1999 (Carr),1995-'07 (Carr),"Lemming:
 #3 OT",6'6/290,2003,Tony Pape,2nd Day (Rnd 4-7),7th,Superprep: #3 OL (Top 50),Former players,Former players,Offense,4* (#5 OL),True,OT,1,4.72
T,-,"Athlon's: #87 OVR, #17 Big Ten",Played out eligibility,1996 (Carr),1995-'07 (Carr),"Lemming:
 #4 OT, #17 SE (AA1t)",6'6/270,2000,Jeff Backus,1st Day (Rnd 1-3),1st,"Superprep: #5 OL, #15 SE (AA)",Former players,Former players,Offense,All-Am (#3 OT),True,OT,2,4.69
T,"0.9664 (#10 OT), #72 OVR",-,Transfer: Coach,2008 (Rodriguez),2008-'10 (Rodriguez),"85 (#4 OT), #69 OVR",6'8/290,2008,Dann O'Neill,UDFA,UDFA,"4* (#14 OT), #147 OVR",Former players,Former players,Offense,"6.0 (#10 OT), #49 OVR",True,OT,3,4.61
T,-,Parade AA,Played out eligibility,1997 (Carr),1995-'07 (Carr),"Lemming: #4 OT, #21 OVR, #2 MW",6'5/245,2000,Maurice Williams,1st Day (Rnd 1-3),2nd,"Superprep: #6 OL, #3 MW",Former players,Former players,Offense,5.9 (#n/a DL),True,OT,4,4.58
T,"0.9671 (#9 OT), #84 OVR",-,Degree/Medical,2005 (Carr),1995-'07 (Carr),"Lemming: #1 OT, #85 OVR",6'5/301,2008,Cory Zirbel,Not Drafted,Not Drafted,4* (#20 OL),Former players,Former players,Offense,"5.9 (#10 OT), #83 OVR",True,OT,5,4.56
T,"0.9628 (#8 OT), #88 OVR","94 (#11 OT), #147 OVR",arriving in fall,2022 (Harbaugh),2015-> (Harbaugh),"84 (#12 OT), #78 OVR",6'8/310,0,Andrew Gentry,Still in High School,2026,no ratings,Class of 2022,Commits,Offense,"6.0 (#8 OT), #68 OVR",True,OT,6,4.53
T,"0.9612 (#11 OT), #88 OVR","95 (#12 OT), #88 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"84 (#18 OT), #136 OVR",6'5/285,On Team,Giovanni El-Hadi,Still in High School,2026,-,Current players,Current players,Offense,"5.9 (#13 OT), #92 OVR",True,OT,7,4.49
T,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #26 OT,6'7/290,1994,Trezelle Jenkins,1st Day (Rnd 1-3),1st,Superprep: #1 OL (AA),Former players,Former players,Offense,-,True,OT,8,4.48
T,"0.9472 (#9 OG), #110 OVR","94 (#6 OG), #136 OVR",Degree/Medical,2013 (Hoke),2011-'14 (Hoke),"83 (#10 OT), #134 OVR",6'6/300,2014,Chris Fox,Not Drafted,Not Drafted,"4* (#6 OG), #118 OVR",Former players,Former players,Offense,"5.9 (#11 OT), #142 OVR",True,OT,9,4.44
T,"0.9594 (#9 OT), #83 OVR","96 (#6 OT), #71 OVR",Played out eligibility,2012 (Hoke),2011-'14 (Hoke),"79 (#27 OT), #41 West",6'6/275,2016,Erik Magnuson,UDFA but NFL player,UDFA+,"4* (#15 OT), #82 OVR",Former players,Former players,Offense,"5.9 (#10 OT), #78 OVR",True,OT,10,4.43
T,-,-,Played out eligibility,2001 (Carr),1995-'07 (Carr),Lemming: #10 G/C,6'5/295,2005,Adam Stenavich,Not Drafted,Not Drafted,"Superprep: #16 OL, #10 MW",Former players,Former players,Offense,4* (#20 OL),True,OT,11,4.41
T,"0.9512 (#11 OT), #108 OVR","95 (#11 OT), #109 OVR",On Team,2019 (Harbaugh),2015-> (Harbaugh),"82 (#20 OT), #202 OVR",6'4/282,On Team,Trente Jones,Still in College,2025,-,Current players,Current players,Offense,"5.9 (#12 OT), #90 OVR",True,OT,12,4.41
T,-,USA Today 2nd team,Played out eligibility,1999 (Carr),1995-'07 (Carr),"Lemming: #6 OT, #69 OVR",6'6/280,2003,Demeterius Solomon,Not Drafted,Not Drafted,Superprep: #1 OL (Top 50),Former players,Former players,Offense,5.5 (NR OL),True,OT,13,4.38
T,"0.9408 (#8 OG), #126 OVR","96 (#4 OG), #87 OVR",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"83 (#10 OG), #165 OVR",6'5/285,2017,Mason Cole,1st Day (Rnd 1-3),3rd,"4* (#18 OT), #253 OVR",Former players,Former players,Offense,"5.9 (#12 OT), #92 OVR",True,OT,14,4.37
T,"0.9683 (#5 OG), #84 OVR",-,Degree and a Handshake,2004 (Carr),1995-'07 (Carr),Lemming: #23 OT,6'5/310,2007,Alex Mitchell,Not Drafted,Not Drafted,3* (#53 OL),Former players,Former players,Offense,"5.9 (#3 OG), #80 OVR",True,OT,15,4.37
T,"0.9 (#19 OT), #211 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),"Lemming: #5 OL, #77 OVR",6'7/275,2006,Mike Kolodziej,Not Drafted,Not Drafted,4* (#12 DT),Former players,Former players,Offense,5.8 (#13 OT),True,OT,16,4.34
T,"0.9357 (#8 OT), #106 OVR",-,Played out eligibility,2003 (Carr),1995-'07 (Carr),Lemming: #12 OT,6'7/295,2007,Jake Long,1st Day (Rnd 1-3),1st,"4* (#11 OL), #72 OVR",Former players,Former players,Offense,"5.8 (#21 OT), #6 MI",True,OT,17,4.32
T,-,Athlon's: #20 Big Ten,Degree/Medical,1996 (Carr),1995-'07 (Carr),"Lemming:
 #16 OT, #24 SW (AA)",6'5/300,1997,Paul Tannous,Not Drafted,Not Drafted,"Superprep: #24 OL, #18 TX (AA)",Former players,Former players,Offense,-,True,OT,18,4.25
T,"0.9268 (#16 OT), #169 OVR","94 (#9 OT), #129 OVR",Behavioral: dismissed,2013 (Hoke),2011-'14 (Hoke),"84 (#7 OT), #104 OVR",6'7/300,2014,Logan Tuley-Tillman,Not Drafted,Not Drafted,"4* (#24 OT), #300 OVR",Former players,Former players,Offense,"5.8 (#24 OT), #7 IL",True,OT,19,4.25
