Position,247 Comp.,247 or Prepstar,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,Offense/Defense,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Rivals or NRA,Pos1,Position (group),UM rk,☆S
TE,"0.8995 (#12 TE), #285 OVR",-,2010 (Rodriguez),2008-'10 (Rodriguez),"81 (#27 WR), #173 OVR",6'4/225,2012,Ricardo Miller,Not Drafted,Not Drafted,True,"4* (#27 WR), #167 OVR",Former players,Former players,"5.7 (#66 WR), #12 MI",TE,Offense,18,4.01
TE,"0.8904 (#11 TE), #315 OVR","92 (#6 TE), #230 OVR",2014 (Hoke),2011-'14 (Hoke),"82 (#6 TE-H), #200 OVR",6'7/230,2017,Ian Bunting,UDFA,UDFA,True,3* (#21 TE),Former players,Former players,"5.8 (#10 TE), #15 IL",TE,Offense,19,3.96
TE,"0.8843 (#15 TE), #367 OVR","91 (#11 TE), #269 OVR",2016 (Harbaugh),2015-> (Harbaugh),"81 (#2 TE-H), #258 OVR",6'5/230,2020,Nick Eubanks,UDFA,UDFA,True,3* (#29 TE),Former players,Former players,"5.8 (#9 TE), #34 FL",TE,Offense,20,3.95
TE,"0.8918 (#20 TE), #332 OVR","88 (#25 TE), #5 MA",2023,2015-> (Harbaugh),no rating,6'4/215,-1,Andrew Rappleyea,2027,2027,True,"4* , 91, #169 Ovr
 #10 TE, #3 MA",Class of 2023,Commits,"5.8 (#12 TE), #240 OVR",TE,Offense,21,3.93
TE,"0.9054 (#11 TE), #275 OVR","88 (#28 TE), #563 OVR",2021 (Harbaugh),2015-> (Harbaugh),"77 (#24 TE-Y), #90 East",6'6/222,On Team,Louis Hansen,Still in High School,2026,True,-,Current players,Current players,"5.9 (#5 TE), #85 OVR",TE,Offense,22,3.93
TE,"0.8937 (#13 TE), #346 OVR","90 (#13 TE), #309 OVR",2019 (Harbaugh),2015-> (Harbaugh),"79 (#10 TE-H), #49 MW",6'4/225,On Team,Erick All,Still in College,2024,True,-,Current players,Current players,"5.8 (#16 TE), #15 OH",TE,Offense,23,3.93
TE,-,-,1997 (Carr),1995-'07 (Carr),"Lemming: #14 S, #34 Midlands",6'3/200,2001,Eric Rosel,Not Drafted,Not Drafted,True,Superprep: #55 Midlands,Former players,Former players,5.6 (#10 DB),TE,Offense,24,3.92
TE,-,BCI: #4 TE Midwest,1996 (Carr),1995-'07 (Carr),"Lemming: #15 TE, #26 MW",6'4/240,1998,Chad Carpenter,Not Drafted,Not Drafted,True,"Superprep: #10 TE, #22 MW (AA)",Former players,Former players,-,TE,Offense,25,3.91
TE,"0.8940 (#17 TE), #338 OVR","91 (#10 TE), #1 ID",2022 (Harbaugh),2015-> (Harbaugh),"79 (#11 TE-H), #70 West",6'4/230,0,Colston Loveland,Still in High School,2026,True,"3* , 89, #NR Ovr
 #21 TE, #1 ID",Class of 2022,Commits,"5.8 (#13 TE), #1 ID",TE,Offense,26,3.9
TE,-,-,2001 (Carr),1995-'07 (Carr),Lemming: #10 TE,6'7/248,2002,Kyle Ealey,Not Drafted,Not Drafted,True,Superprep: #38 MW,Former players,Former players,3* (#21 TE),TE,Offense,27,3.89
