Year,CBSA,CO1-hr2ndMax,CO8-hr2ndMax,NO298th%ile,NO2AnnualMean,O3 1-hr2nd Max,O3 8-hr4th Max,SO299th %ile,SO2 24-hr2nd Max,SO2AnnualMean,PM2.598th %ile,PM2.5Wtd.Mean,PM10 24-hr2nd Max,PM10Annual Mean,Lead Max3-Mo. Avg
1980,Columbus OH,20,12.1,0,19,0.13,0.101,173,48,9,0,0,0,0,0
1980,Corpus Christi TX,6.2,2.7,0,0,0.15,0.103,130,49,3,0,0,0,0,0
1980,Coshocton OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Cumberland MD-WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Dallas-Fort Worth-Arlington TX,8.8,5.3,0,22,0.18,0.112,0,0,2,0,0,0,0,0
1980,Davenport-Moline-Rock Island IA-IL,10.8,5.5,0,0,0.11,0.08,79,27,7,0,0,0,0,0
1980,Dayton OH,14,7.1,0,0,0.13,0.102,0,0,0,0,0,0,0,0
1980,Decatur AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Decatur IL,0,0,0,0,0.09,0.079,253,88,10,0,0,0,0,0
1980,Deltona-Daytona Beach-Ormond Beach FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Deming NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Denver-Aurora-Lakewood CO,41.3,21.3,173,50,0.13,0.084,186,57,13,0,0,0,0,0
1980,Des Moines-West Des Moines IA,19,11.9,0,0,0,0,0,0,0,0,0,0,0,0
1980,Detroit-Warren-Dearborn MI,22.8,8.8,112,36,0.14,0.108,240,57,17,0,0,0,0,0
1980,Dubuque IA,21.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0
1980,Duluth MN-WI,20.5,12.3,0,0,0,0,0,0,0,0,0,0,0,0
1980,Durham-Chapel Hill NC,25.4,13.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Eau Claire WI,0,0,0,8,0.11,0.086,0,0,0,0,0,0,0,0
1980,El Centro CA,0,0,0,0,0.12,0.091,0,0,0,0,0,0,0,0
1980,El Dorado AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Elizabethtown-Fort Knox KY,0,0,0,0,0.12,0.082,0,0,0,0,0,0,0,0
1980,Elmira NY,4.6,2.1,0,0,0.11,0.083,0,0,0,0,0,0,0,0
1980,El Paso TX,16.4,9.7,0,0,0.16,0.088,180,46,10,0,0,0,0,0
1980,Erie PA,5.4,4.5,0,0,0.17,0.111,346,75,13,0,0,0,0,0
1980,Eugene OR,13.8,10.1,0,0,0,0,0,0,0,0,0,0,0,0
1980,Evansville IN-KY,9,5,0,19,0.11,0.083,0,0,0,0,0,0,0,0
1980,Fairbanks AK,25,16,0,0,0,0,0,0,0,0,0,0,0,0
1980,Farmington NM,12,5.8,0,0,0,0,170,37,6,0,0,0,0,0
1980,Fayetteville NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Findlay OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Flagstaff AZ,15,7.5,0,0,0,0,0,0,0,0,0,0,0,0
1980,Flint MI,0,0,0,0,0.1,0.08,51,25,5,0,0,0,0,0
1980,Florence SC,0,0,0,0,0.11,0.093,0,0,0,0,0,0,0,0
1980,Fort Collins CO,24,13.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Fort Smith AR-OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Fort Wayne IN,0,0,0,0,0.13,0.101,0,0,0,0,0,0,0,0
1980,Frankfort KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Fresno CA,21,15.5,150,34,0.17,0.125,30,38,3,0,0,0,0,0
1980,Gainesville FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Galesburg IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Georgetown SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Gillette WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Glasgow KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Glens Falls NY,0,0,0,0,0.1,0.081,125,57,9,0,0,0,0,0
1980,Goldsboro NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Grand Junction CO,11.5,6.1,0,0,0,0,0,0,0,0,0,0,0,0
1980,Grand Rapids-Wyoming MI,9.1,5.8,0,0,0.12,0.097,160,62,6,0,0,0,0,0
1980,Great Falls MT,12.2,7.7,0,0,0.09,0.077,0,0,0,0,0,0,0,0
1980,Greeley CO,30.5,12.8,0,0,0.09,0.064,0,0,0,0,0,0,0,0
1980,Green Bay WI,0,0,0,0,0.11,0.085,415,91,15,0,0,0,0,0
1980,Greensboro-High Point NC,0,0,0,0,0.12,0.096,0,0,0,0,0,0,0,0
1980,Greenville-Anderson-Mauldin SC,15.3,9.3,0,0,0.11,0.099,0,0,0,0,0,0,0,0
1980,Hagerstown-Martinsburg MD-WV,8.9,5.3,0,0,0,0,0,0,0,0,0,0,0,0
1980,Hanford-Corcoran CA,0,0,0,0,0.11,0.087,0,0,0,0,0,0,0,0
1980,Harrisburg-Carlisle PA,5,3.9,0,22,0.12,0.092,79,34,10,0,0,0,0,0
1980,Harrison AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Hartford-West Hartford-East Hartford CT,17,10.3,99,29,0.26,0.153,92,65,15,0,0,0,0,0
1980,Helena MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Houston-The Woodlands-Sugar Land TX,13.8,7.8,150,32,0.27,0.148,170,40,6,0,0,0,0,0
1980,Huntington-Ashland WV-KY-OH,13.3,9.1,0,0,0.13,0.093,0,0,0,0,0,0,0,0
1980,Huntsville AL,9.3,7.4,0,24,0.12,0.087,0,0,0,0,0,0,0,0
1980,Indianapolis-Carmel-Anderson IN,16.9,11,0,36,0.14,0.11,363,75,17,0,0,0,0,0
1980,Jackson MS,7.5,5.2,0,15,0.11,0.086,0,0,0,0,0,0,0,0
1980,Jacksonville FL,14,8.6,0,0,0.12,0.095,0,0,9,0,0,0,0,0
1980,Jamestown-Dunkirk-Fredonia NY,0,0,0,0,0,0,324,98,19,0,0,0,0,0
1980,Janesville-Beloit WI,0,0,63,4,0.1,0.081,159,33,3,0,0,0,0,0
1980,Johnstown PA,8,3.5,0,24,0.14,0.117,231,83,22,0,0,0,0,0
1980,Jonesboro AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Kahului-Wailuku-Lahaina HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Kankakee IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Kansas City MO-KS,17,9.2,0,0,0.16,0.108,170,45,9,0,0,0,0,0
1980,Keene NH,16.1,9.8,0,0,0,0,0,0,0,0,0,0,0,0
1980,Kingsport-Bristol-Bristol TN-VA,9.3,4.1,78,19,0.15,0.113,246,59,18,0,0,0,0,0
1980,Knoxville TN,22.5,15.3,0,0,0.16,0.106,130,53,6,0,0,0,0,0
1980,La Crosse-Onalaska WI-MN,0,0,0,0,0.09,0.076,0,0,0,0,0,0,0,0
1980,Lafayette LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Lake Charles LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Lakeland-Winter Haven FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Lancaster PA,5.9,4.3,0,18,0.13,0.096,72,37,10,0,0,0,0,0
1980,Lansing-East Lansing MI,0,0,0,0,0.11,0.091,210,100,16,0,0,0,0,0
1980,Las Cruces NM,11,8.1,0,0,0.09,0.062,30,3,0,0,0,0,0,0
1980,Las Vegas-Henderson-Paradise NV,25.6,15.2,0,36,0.09,0,0,0,0,0,0,0,0,0
1980,Lewiston-Auburn ME,11.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
1980,Lexington-Fayette KY,12.5,7.2,0,18,0.11,0.089,61,36,7,0,0,0,0,0
1980,Lima OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Lincoln NE,17.5,9.9,0,0,0.08,0.069,0,0,0,0,0,0,0,0
1980,Little Rock-North Little Rock-Conway AR,0,0,0,5,0.14,0.099,0,0,0,0,0,0,0,0
1980,London KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Longview TX,0,0,0,0,0.13,0.098,130,17,2,0,0,0,0,0
1980,Longview WA,0,0,0,0,0,0,40,17,4,0,0,0,0,0
1980,Los Angeles-Long Beach-Anaheim CA,30,24.9,330,71,0.38,0.241,80,28,12,0,0,0,0,0
1980,Louisville/Jefferson County KY-IN,24.4,13.4,0,0,0.19,0.134,340,106,26,0,0,0,0,0
1980,Lubbock TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Macon GA,0,0,0,0,0,0,85,25,6,0,0,0,0,0
1980,Madison WI,0,0,0,6,0.13,0.112,0,0,0,0,0,0,0,0
1980,Madisonville KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Manchester-Nashua NH,24.9,12.3,0,0,0.13,0.101,0,0,0,0,0,0,0,0
1980,Mankato-North Mankato MN,0,0,0,0,0.11,0.083,0,0,0,0,0,0,0,0
1980,Mansfield OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Marietta OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
